Mut_id	N.OXPHOS	N.mutated_OXPHOS	OXPHOS	N.IMregulatory	N.mutated_IMregulatory	IM.regulatory	N.IM/MES	N.mutated_IM/MES	IM/MES	N.LAR	N.mutated_LAR	LAR
BRCA2	14	0	0	21	0	0	84	2	0.023809524	39	3	0.076923077
GATA3	14	0	0	21	0	0	84	0	0	39	1	0.025641026
SETDB1	14	1	0.071428571	21	0	0	84	2	0.023809524	39	0	0
RASGEF1B	14	0	0	21	0	0	84	1	0.011904762	39	0	0
BCAS3	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
RB1	14	1	0.071428571	21	3	0.142857143	84	3	0.035714286	39	1	0.025641026
JAK1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
PTPRD	14	0	0	21	0	0	84	4	0.047619048	39	2	0.051282051
TG	14	1	0.071428571	21	2	0.095238095	84	5	0.05952381	39	3	0.076923077
TBX3	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
ERBB2	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
CTNNA3	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
PIK3R1	14	0	0	21	0	0	84	2	0.023809524	39	3	0.076923077
HERC2	14	1	0.071428571	21	1	0.047619048	84	5	0.05952381	39	4	0.102564103
CHD1	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
USP9X	14	1	0.071428571	21	1	0.047619048	84	5	0.05952381	39	0	0
EP300	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	2	0.051282051
APC	14	0	0	21	2	0.095238095	84	3	0.035714286	39	0	0
COL6A3	14	0	0	21	2	0.095238095	84	5	0.05952381	39	3	0.076923077
NOTCH1	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	0	0
NCOR2	14	0	0	21	1	0.047619048	84	5	0.05952381	39	1	0.025641026
RUNX1	14	1	0.071428571	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
PRKCE	14	0	0	21	0	0	84	1	0.011904762	39	0	0
STK11	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
SHANK2	14	0	0	21	1	0.047619048	84	3	0.035714286	39	0	0
PRR16	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
FOXO3	14	1	0.071428571	21	0	0	84	1	0.011904762	39	1	0.025641026
RPGR	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
NCOR1	14	1	0.071428571	21	0	0	84	1	0.011904762	39	2	0.051282051
FBXW7	14	1	0.071428571	21	2	0.095238095	84	0	0	39	1	0.025641026
CASP8	14	0	0	21	2	0.095238095	84	0	0	39	1	0.025641026
SIK1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
PRKACG	14	0	0	21	1	0.047619048	84	0	0	39	0	0
SBNO1	14	0	0	21	1	0.047619048	84	0	0	39	1	0.025641026
BAP1	14	0	0	21	2	0.095238095	84	0	0	39	1	0.025641026
ARID5B	14	0	0	21	2	0.095238095	84	2	0.023809524	39	0	0
MEN1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
GLDC	14	0	0	21	0	0	84	4	0.047619048	39	0	0
PPP2CB	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
LAMB3	14	0	0	21	2	0.095238095	84	0	0	39	1	0.025641026
L1CAM	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
FLT3	14	0	0	21	0	0	84	4	0.047619048	39	0	0
ASXL1	14	0	0	21	1	0.047619048	84	3	0.035714286	39	0	0
MYO1A	14	1	0.071428571	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
GPS2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
TAF4B	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
AKAP9	14	1	0.071428571	21	1	0.047619048	84	2	0.023809524	39	3	0.076923077
CHEK2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
FRMD3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
GPR124	14	0	0	21	0	0	84	1	0.011904762	39	0	0
SMARCD1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
OR6A2	14	1	0.071428571	21	0	0	84	0	0	39	0	0
PBRM1	14	1	0.071428571	21	2	0.095238095	84	1	0.011904762	39	1	0.025641026
FANCA	14	0	0	21	0	0	84	4	0.047619048	39	0	0
FANCD2	14	0	0	21	0	0	84	2	0.023809524	39	2	0.051282051
CACNA2D3	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
SMAD4	14	0	0	21	0	0	84	0	0	39	1	0.025641026
NPNT	14	0	0	21	1	0.047619048	84	1	0.011904762	39	2	0.051282051
NT5E	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
SETD1A	14	0	0	21	0	0	84	0	0	39	3	0.076923077
ACVRL1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
AFF2	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
MAP3K1	14	0	0	21	0	0	84	3	0.035714286	39	2	0.051282051
PTPN22	14	0	0	21	1	0.047619048	84	3	0.035714286	39	0	0
LARGE	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
ERBB4	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
EGFR	14	0	0	21	2	0.095238095	84	1	0.011904762	39	0	0
SMARCC1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
DTWD2	14	0	0	21	0	0	84	1	0.011904762	39	0	0
KRAS	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
AGTR2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
KLRG1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
MAGEA8	14	0	0	21	0	0	84	1	0.011904762	39	0	0
GPR32	14	0	0	21	0	0	84	0	0	39	1	0.025641026
NEK1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
LDLRAP1	14	0	0	21	1	0.047619048	84	0	0	39	0	0
LIFR	14	0	0	21	0	0	84	0	0	39	2	0.051282051
MAP2K4	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
PPP2R2A	14	0	0	21	0	0	84	1	0.011904762	39	0	0
STMN2	14	0	0	21	0	0	84	1	0.011904762	39	0	0
UBR5	14	0	0	21	0	0	84	0	0	39	1	0.025641026
