Mut_id	id	loc	N.OXPHOS	N.mutated_OXPHOS	OXPHOS	N.IM regulatory	N.mutated_IM regulatory	IM.regulatory	N.IM/MES	N.mutated_IM/MES	IM/MES	N.LAR	N.mutated_LAR	LAR
ABCA8_amp	amp	17q24.2	14	1	0.071428571	21	2	0.095238095	84	0	0	39	1	0.025641026
ABCA9_amp	amp	17q24.2	14	1	0.071428571	21	2	0.095238095	84	0	0	39	1	0.025641026
ABCA9-AS1_amp	amp	17q24.2	14	1	0.071428571	21	2	0.095238095	84	0	0	39	1	0.025641026
ABCB1_amp	amp	7q21.12	14	1	0.071428571	21	2	0.095238095	84	1	0.011904762	39	3	0.076923077
ABCB10_amp	amp	1q42.13	14	4	0.285714286	21	2	0.095238095	84	14	0.166666667	39	4	0.102564103
ABCB11_amp	amp	2q31.1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABCB4_amp	amp	7q21.12	14	1	0.071428571	21	2	0.095238095	84	1	0.011904762	39	3	0.076923077
ABCB5_amp	amp	7p21.1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	6	0.153846154
ABCB7_amp	amp	.	14	1	0.071428571	21	0	0	84	0	0	39	0	0
ABCB8_amp	amp	7q36.1	14	3	0.214285714	21	2	0.095238095	84	0	0	39	0	0
ABCC1_amp	amp	16p13.11	14	0	0	21	0	0	84	3	0.035714286	39	0	0
ABCC10_amp	amp	6p21.1	14	1	0.071428571	21	1	0.047619048	84	9	0.107142857	39	2	0.051282051
ABCC11_amp	amp	16q12.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABCC12_amp	amp	16q12.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABCC13_amp	amp	21q11.2	14	1	0.071428571	21	3	0.142857143	84	4	0.047619048	39	0	0
ABCC13_del	del	21q11.2	14	0	0	21	1	0.047619048	84	0	0	39	0	0
ABCC2_del	del	10q24.2	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABCC3_amp	amp	17q21.33	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ABCC4_amp	amp	13q32.1	14	1	0.071428571	21	0	0	84	8	0.095238095	39	0	0
ABCC4_del	del	13q32.1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABCC5_amp	amp	3q27.1	14	0	0	21	3	0.142857143	84	3	0.035714286	39	2	0.051282051
ABCC5-AS1_amp	amp	3q27.1	14	0	0	21	3	0.142857143	84	3	0.035714286	39	2	0.051282051
ABCC6_amp	amp	16p13.11	14	0	0	21	0	0	84	3	0.035714286	39	0	0
ABCC6P1_amp	amp	16p12.3	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
ABCC6P2_amp	amp	16p13.11	14	0	0	21	0	0	84	3	0.035714286	39	0	0
ABCC8_amp	amp	11p15.1	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
ABCC9_amp	amp	12p12.1	14	1	0.071428571	21	2	0.095238095	84	3	0.035714286	39	0	0
ABCD1_amp	amp	.	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
ABCD2_amp	amp	12q12	14	0	0	21	1	0.047619048	84	3	0.035714286	39	0	0
ABCD3_amp	amp	1p21.3	14	0	0	21	2	0.095238095	84	2	0.023809524	39	0	0
ABCD4_amp	amp	14q24.3	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ABCE1_amp	amp	4q31.21	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
ABCF1_amp	amp	6p21.33	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
ABCF2_amp	amp	7q36.1	14	3	0.214285714	21	2	0.095238095	84	0	0	39	0	0
ABCF3_amp	amp	3q27.1	14	0	0	21	2	0.095238095	84	3	0.035714286	39	2	0.051282051
ABCG1_amp	amp	21q22.3	14	1	0.071428571	21	3	0.142857143	84	4	0.047619048	39	2	0.051282051
ABCG2_amp	amp	4q22.1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABCG4_amp	amp	11q23.3	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABCG5_amp	amp	2p21	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	1	0.025641026
ABCG8_amp	amp	2p21	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	1	0.025641026
ABHD1_amp	amp	2p23.3	14	1	0.071428571	21	0	0	84	1	0.011904762	39	0	0
ABHD10_amp	amp	3q13.2	14	0	0	21	1	0.047619048	84	0	0	39	1	0.025641026
ABHD11_amp	amp	7q11.23	14	0	0	21	1	0.047619048	84	0	0	39	1	0.025641026
ABHD12_amp	amp	20p11.21	14	1	0.071428571	21	2	0.095238095	84	3	0.035714286	39	0	0
ABHD12B_amp	amp	14q22.1	14	0	0	21	1	0.047619048	84	0	0	39	1	0.025641026
ABHD13_amp	amp	13q33.3	14	0	0	21	0	0	84	12	0.142857143	39	1	0.025641026
ABHD15_del	del	17q11.2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ABHD15_amp	amp	17q11.2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABHD16A_amp	amp	6p21.33	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
ABHD16B_amp	amp	20q13.33	14	1	0.071428571	21	2	0.095238095	84	7	0.083333333	39	3	0.076923077
ABHD17B_amp	amp	9q21.13	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABHD17C_amp	amp	15q25.1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABHD2_amp	amp	15q26.1	14	0	0	21	1	0.047619048	84	0	0	39	0	0
ABHD3_del	del	18q11.2	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABHD3_amp	amp	18q11.2	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
ABHD4_amp	amp	14q11.2	14	0	0	21	2	0.095238095	84	2	0.023809524	39	1	0.025641026
ABHD5_del	del	3p21.33	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABHD8_amp	amp	19p13.11	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	1	0.025641026
ABI1_amp	amp	10p12.1	14	4	0.285714286	21	1	0.047619048	84	8	0.095238095	39	2	0.051282051
ABI2_amp	amp	2q33.2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ABI2_del	del	2q33.2	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABI3_amp	amp	17q21.32	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
ABI3BP_amp	amp	3q12.2	14	0	0	21	2	0.095238095	84	0	0	39	1	0.025641026
ABL1_amp	amp	9q34.12	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABL2_amp	amp	1q25.2	14	3	0.214285714	21	2	0.095238095	84	7	0.083333333	39	1	0.025641026
ABLIM1_amp	amp	10q25.3	14	1	0.071428571	21	2	0.095238095	84	2	0.023809524	39	0	0
ABLIM3_amp	amp	5q32	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ABO_amp	amp	9q34.2	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABR_del	del	17p13.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ABRA_amp	amp	8q23.1	14	5	0.357142857	21	8	0.380952381	84	33	0.392857143	39	6	0.153846154
ABRACL_amp	amp	6q24.1	14	0	0	21	2	0.095238095	84	6	0.071428571	39	0	0
ABT1_amp	amp	6p22.2	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
ABTB1_amp	amp	3q21.3	14	0	0	21	2	0.095238095	84	0	0	39	0	0
ABTB2_amp	amp	11p13	14	0	0	21	2	0.095238095	84	6	0.071428571	39	1	0.025641026
ACAA1_amp	amp	3p22.2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ACAA2_amp	amp	18q21.1	14	1	0.071428571	21	1	0.047619048	84	2	0.023809524	39	0	0
ACACA_amp	amp	17q12	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ACAD11_amp	amp	3q22.1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACAD9_amp	amp	3q21.3	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
ACADL_amp	amp	2q34	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACADM_amp	amp	1p31.1	14	0	0	21	2	0.095238095	84	1	0.011904762	39	0	0
ACADSB_amp	amp	10q26.13	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
ACAN_amp	amp	15q26.1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
ACAP2_amp	amp	3q29	14	0	0	21	2	0.095238095	84	3	0.035714286	39	0	0
ACAP3_amp	amp	1p36.33	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
ACAT2_amp	amp	6q25.3	14	0	0	21	0	0	84	4	0.047619048	39	1	0.025641026
ACBD3_amp	amp	1q42.12	14	4	0.285714286	21	3	0.142857143	84	10	0.119047619	39	5	0.128205128
ACBD5_amp	amp	10p12.1	14	3	0.214285714	21	1	0.047619048	84	8	0.095238095	39	2	0.051282051
ACBD6_amp	amp	1q25.2	14	3	0.214285714	21	2	0.095238095	84	7	0.083333333	39	1	0.025641026
ACBD7_amp	amp	10p13	14	5	0.357142857	21	5	0.238095238	84	14	0.166666667	39	3	0.076923077
ACCS_amp	amp	11p11.2	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACCSL_amp	amp	11p11.2	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACD_amp	amp	16q22.1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ACE_amp	amp	17q23.3	14	0	0	21	2	0.095238095	84	2	0.023809524	39	3	0.076923077
ACE2_amp	amp	.	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
ACER1_amp	amp	19p13.3	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
ACER2_amp	amp	9p22.1	14	1	0.071428571	21	2	0.095238095	84	7	0.083333333	39	0	0
ACER2_del	del	9p22.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACER3_amp	amp	11q13.5	14	1	0.071428571	21	2	0.095238095	84	1	0.011904762	39	1	0.025641026
ACHE_amp	amp	7q22.1	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
ACIN1_amp	amp	14q11.2	14	0	0	21	2	0.095238095	84	2	0.023809524	39	2	0.051282051
ACKR2_amp	amp	3p22.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACKR3_amp	amp	2q37.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACKR4_amp	amp	3q22.1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACLY_amp	amp	17q21.2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ACMSD_amp	amp	2q21.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACO1_amp	amp	9p21.1	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
ACO2_amp	amp	22q13.2	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ACOT1_amp	amp	14q24.3	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ACOT1_del	del	14q24.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACOT11_amp	amp	1p32.3	14	1	0.071428571	21	2	0.095238095	84	2	0.023809524	39	2	0.051282051
ACOT13_amp	amp	6p22.3	14	0	0	21	0	0	84	6	0.071428571	39	1	0.025641026
ACOT2_amp	amp	14q24.3	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ACOT2_del	del	14q24.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACOT4_amp	amp	14q24.3	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ACOT4_del	del	14q24.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACOT6_amp	amp	14q24.3	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ACOT8_amp	amp	20q13.12	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ACOT9_amp	amp	.	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ACOX1_amp	amp	17q25.1	14	2	0.142857143	21	2	0.095238095	84	2	0.023809524	39	2	0.051282051
ACOXL_amp	amp	2q13	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
ACP1_amp	amp	2p25.3	14	1	0.071428571	21	0	0	84	3	0.035714286	39	2	0.051282051
ACP5_amp	amp	19p13.2	14	1	0.071428571	21	0	0	84	3	0.035714286	39	1	0.025641026
ACP5_del	del	19p13.2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ACP6_amp	amp	1q21.2	14	4	0.285714286	21	3	0.142857143	84	11	0.130952381	39	4	0.102564103
ACPP_amp	amp	3q22.1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACPT_amp	amp	19q13.33	14	0	0	21	1	0.047619048	84	0	0	39	1	0.025641026
ACR_amp	amp	22q13.33	14	0	0	21	0	0	84	4	0.047619048	39	0	0
ACRBP_amp	amp	12p13.31	14	3	0.214285714	21	3	0.142857143	84	9	0.107142857	39	0	0
ACRBP_del	del	12p13.31	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACRC_amp	amp	.	14	1	0.071428571	21	0	0	84	0	0	39	0	0
ACRV1_amp	amp	11q24.2	14	1	0.071428571	21	0	0	84	0	0	39	0	0
ACSBG2_amp	amp	19p13.3	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
ACSF2_amp	amp	17q21.33	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACSF3_amp	amp	16q24.3	14	0	0	21	1	0.047619048	84	3	0.035714286	39	2	0.051282051
ACSL1_del	del	4q35.1	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ACSL1_amp	amp	4q35.1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ACSL4_amp	amp	.	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACSL5_amp	amp	10q25.2	14	0	0	21	2	0.095238095	84	1	0.011904762	39	0	0
ACSM1_amp	amp	16p12.3	14	0	0	21	0	0	84	3	0.035714286	39	0	0
ACSM2A_amp	amp	16p12.3	14	0	0	21	0	0	84	3	0.035714286	39	0	0
ACSM2B_amp	amp	16p12.3	14	0	0	21	0	0	84	3	0.035714286	39	0	0
ACSM3_amp	amp	16p12.3	14	0	0	21	0	0	84	3	0.035714286	39	0	0
ACSM4_amp	amp	12p13.31	14	3	0.214285714	21	3	0.142857143	84	8	0.095238095	39	0	0
ACSM4_del	del	12p13.31	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACSM5_amp	amp	16p12.3	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
ACSS1_amp	amp	20p11.21	14	1	0.071428571	21	3	0.142857143	84	4	0.047619048	39	0	0
ACSS2_del	del	20q11.22	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACSS2_amp	amp	20q11.22	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ACSS3_amp	amp	12q21.31	14	1	0.071428571	21	0	0	84	0	0	39	1	0.025641026
ACTA1_amp	amp	1q42.13	14	4	0.285714286	21	2	0.095238095	84	14	0.166666667	39	4	0.102564103
ACTA2_del	del	10q23.31	14	1	0.071428571	21	0	0	84	3	0.035714286	39	1	0.025641026
ACTA2-AS1_del	del	10q23.31	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	1	0.025641026
ACTB_amp	amp	7p22.1	14	1	0.071428571	21	0	0	84	1	0.011904762	39	5	0.128205128
ACTBL2_del	del	5q11.2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ACTG1_amp	amp	17q25.3	14	2	0.142857143	21	1	0.047619048	84	6	0.071428571	39	0	0
ACTG1P4_amp	amp	1p21.1	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ACTG2_amp	amp	2p13.1	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ACTL10_del	del	20q11.22	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACTL10_amp	amp	20q11.22	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACTL6A_amp	amp	3q26.33	14	1	0.071428571	21	4	0.19047619	84	8	0.095238095	39	3	0.076923077
ACTL6B_amp	amp	7q22.1	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
ACTL7A_amp	amp	9q31.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACTL7B_amp	amp	9q31.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACTL9_amp	amp	19p13.2	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	0	0
ACTN1_amp	amp	14q24.1	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ACTN1-AS1_amp	amp	14q24.1	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ACTN2_amp	amp	1q43	14	4	0.285714286	21	3	0.142857143	84	14	0.166666667	39	5	0.128205128
ACTN3_amp	amp	11q13.2	14	0	0	21	1	0.047619048	84	0	0	39	0	0
ACTN4_amp	amp	19q13.2	14	1	0.071428571	21	0	0	84	4	0.047619048	39	0	0
ACTR10_amp	amp	14q23.1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	2	0.051282051
ACTR1B_amp	amp	2q11.2	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
ACTR2_amp	amp	2p14	14	0	0	21	1	0.047619048	84	3	0.035714286	39	1	0.025641026
ACTR3_amp	amp	2q14.1	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
ACTR3B_amp	amp	7q36.1	14	3	0.214285714	21	2	0.095238095	84	0	0	39	0	0
ACTR3BP2_del	del	2p11.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ACTR3BP2_amp	amp	2p11.1	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
ACTR3BP5_amp	amp	10p11.1	14	2	0.142857143	21	2	0.095238095	84	2	0.023809524	39	0	0
ACTR3C_amp	amp	7q36.1	14	3	0.214285714	21	2	0.095238095	84	1	0.011904762	39	0	0
ACTR5_amp	amp	20q11.23	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ACTRT1_amp	amp	.	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
ACTRT2_amp	amp	1p36.32	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
ACTRT3_amp	amp	3q26.2	14	1	0.071428571	21	7	0.333333333	84	13	0.154761905	39	3	0.076923077
ACVR2B_amp	amp	3p22.2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ACVR2B-AS1_amp	amp	3p22.2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ACY3_amp	amp	11q13.2	14	0	0	21	2	0.095238095	84	0	0	39	0	0
ACYP1_amp	amp	14q24.3	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ACYP2_amp	amp	2p16.2	14	0	0	21	0	0	84	6	0.071428571	39	2	0.051282051
ADA_amp	amp	20q13.12	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ADAD1_amp	amp	4q27	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ADAD2_amp	amp	16q24.1	14	0	0	21	0	0	84	0	0	39	2	0.051282051
ADAL_del	del	15q15.3	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ADAM10_del	del	15q21.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ADAM10_amp	amp	15q21.3	14	0	0	21	1	0.047619048	84	0	0	39	1	0.025641026
ADAM12_amp	amp	10q26.2	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ADAM15_amp	amp	1q21.3	14	4	0.285714286	21	3	0.142857143	84	19	0.226190476	39	2	0.051282051
ADAM17_amp	amp	2p25.1	14	0	0	21	0	0	84	3	0.035714286	39	2	0.051282051
ADAM18_amp	amp	8p11.22	14	2	0.142857143	21	2	0.095238095	84	3	0.035714286	39	0	0
ADAM18_del	del	8p11.22	14	1	0.071428571	21	0	0	84	2	0.023809524	39	0	0
ADAM19_amp	amp	5q33.3	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ADAM2_amp	amp	8p11.22	14	2	0.142857143	21	2	0.095238095	84	3	0.035714286	39	0	0
ADAM2_del	del	8p11.22	14	1	0.071428571	21	0	0	84	1	0.011904762	39	0	0
ADAM20_amp	amp	14q24.2	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
ADAM20P1_amp	amp	14q24.2	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
ADAM21_amp	amp	14q24.2	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
ADAM21P1_amp	amp	14q24.2	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
ADAM22_amp	amp	7q21.12	14	1	0.071428571	21	2	0.095238095	84	1	0.011904762	39	3	0.076923077
ADAM23_amp	amp	2q33.3	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ADAM28_del	del	8p21.2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ADAM29_del	del	4q34.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
ADAM29_amp	amp	4q34.1	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ADAM30_amp	amp	1p12	14	2	0.142857143	21	0	0	84	3	0.035714286	39	1	0.025641026
ADAM32_amp	amp	8p11.22	14	2	0.142857143	21	2	0.095238095	84	4	0.047619048	39	0	0
ADAM32_del	del	8p11.22	14	1	0.071428571	21	0	0	84	3	0.035714286	39	0	0
ADAM33_amp	amp	20p13	14	1	0.071428571	21	0	0	84	3	0.035714286	39	3	0.076923077
ADAM3A_amp	amp	8p11.22	14	2	0.142857143	21	3	0.142857143	84	1	0.011904762	39	0	0
ADAM3A_del	del	8p11.22	14	1	0.071428571	21	0	0	84	3	0.035714286	39	0	0
ADAM5_amp	amp	8p11.22	14	2	0.142857143	21	3	0.142857143	84	5	0.05952381	39	0	0
ADAM5_del	del	8p11.22	14	1	0.071428571	21	0	0	84	3	0.035714286	39	0	0
ADAM6_amp	amp	14q32.33	14	1	0.071428571	21	3	0.142857143	84	2	0.023809524	39	8	0.205128205
ADAM7_del	del	8p21.2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ADAM8_amp	amp	10q26.3	14	0	0	21	0	0	84	2	0.023809524	39	0	0
ADAM9_amp	amp	8p11.22	14	2	0.142857143	21	2	0.095238095	84	4	0.047619048	39	0	0
ADAM9_del	del	8p11.22	14	1	0.071428571	21	0	0	84	1	0.011904762	39	0	0
ADAMDEC1_del	del	8p21.2	14	0	0	21	0	0	84	0	0	39	1	0.025641026
ADAMTS1_amp	amp	21q21.3	14	1	0.071428571	21	2	0.095238095	84	3	0.035714286	39	2	0.051282051
ADAMTS10_amp	amp	19p13.2	14	1	0.071428571	21	1	0.047619048	84	3	0.035714286	39	0	0
ADAMTS12_amp	amp	5p13.3	14	0	0	21	2	0.095238095	84	2	0.023809524	39	1	0.025641026
ADAMTS13_amp	amp	9q34.2	14	0	0	21	0	0	84	1	0.011904762	39	0	0
